							248
19	8	27	2	27	1	0	
23	8	31	2	35	1	4	
25	4	29	2	39	1	10	
31	7	38	2	46	1	8	
34	4	38	2	50	1	12	
35	9	44	2	59	1	15	
50	8	58	2	67	1	9	
54	15	69	2	82	1	13	
67	2	69	2	84	1	15	
70	5	75	2	89	1	14	
74	12	86	2	101	1	15	
78	6	84	2	107	1	23	
79	8	87	2	115	1	28	
91	10	101	2	125	1	24	
93	5	98	2	125	2	32	
95	15	110	2	140	1	30	
104	12	116	2	140	2	36	
107	15	122	2	140	2	33	
112	14	126	2	154	1	28	
114	1	115	2	154	2	40	
119	5	124	2	154	2	35	
120	12	132	2	154	2	34	
122	8	130	2	154	2	32	
124	8	132	2	162	1	30	
127	8	135	2	162	2	35	
132	8	140	2	170	1	30	
133	10	143	2	170	2	37	
134	15	149	2	170	2	36	
144	10	154	2	180	1	26	
152	7	159	2	187	1	28	
160	15	175	2	202	1	27	
163	14	177	2	202	2	39	
171	8	179	2	202	2	31	
190	2	192	2	204	1	12	
192	2	194	2	206	1	12	
193	3	196	2	209	1	13	
194	7	201	2	216	1	15	
196	7	203	2	223	1	20	
198	9	207	2	232	1	25	
217	9	226	2	241	1	15	
235	6	241	2	247	1	6	
238	6	244	2	253	1	9	
242	12	254	2	265	1	11	
247	8	255	2	273	1	18	
251	15	266	2	288	1	22	
260	14	274	2	302	1	28	
268	8	276	2	302	2	34	
279	7	286	2	309	1	23	
282	4	286	2	313	1	27	
283	3	286	2	316	1	30	
297	13	310	2	329	1	19	
304	14	318	2	343	1	25	
308	1	309	2	343	2	35	
313	9	322	2	352	1	30	
314	6	320	2	352	2	38	
317	11	328	2	352	2	35	
320	6	326	2	352	2	32	
327	12	339	2	364	1	25	
330	14	344	2	364	2	34	
333	2	335	2	364	2	31	
340	3	343	2	367	1	24	
341	8	349	2	375	1	26	
347	15	362	2	390	1	28	
351	3	354	2	390	2	39	
359	5	364	2	390	2	31	
363	14	377	2	404	1	27	
369	2	371	2	404	2	35	
376	9	385	2	413	1	28	
378	12	390	2	413	2	35	
384	3	387	2	416	1	29	
390	15	405	2	431	1	26	
391	7	398	2	431	2	40	
399	2	401	2	431	2	32	
405	2	407	2	433	1	26	
415	6	421	2	439	1	18	
430	11	441	2	450	1	9	
432	14	446	2	464	1	18	
437	14	451	2	478	1	27	
447	1	448	2	478	2	31	
448	8	456	2	486	1	30	
455	5	460	2	486	2	31	
456	10	466	2	496	1	30	
460	8	468	2	496	2	36	
471	13	484	2	509	1	25	
493	14	507	2	523	1	16	
496	12	508	2	535	1	27	
509	15	524	2	550	1	26	
513	6	519	2	550	2	37	
517	8	525	2	550	2	33	
524	7	531	2	557	1	26	
540	15	555	2	572	1	17	
545	3	548	2	575	1	27	
546	3	549	2	578	1	29	
547	12	559	2	578	2	31	
548	4	552	2	582	1	30	
550	7	557	2	582	2	32	
555	9	564	2	591	1	27	
566	1	567	2	592	1	25	
577	13	590	2	605	1	15	
581	15	596	2	620	1	24	
593	10	603	2	630	1	27	
594	14	608	2	630	2	36	
600	7	607	2	637	1	30	
608	6	614	2	643	1	29	
611	13	624	2	643	2	32	
622	10	632	2	653	1	21	
627	2	629	2	655	1	26	
629	14	643	2	669	1	26	
635	5	640	2	669	2	34	
636	15	651	2	669	2	33	
637	1	638	2	669	2	32	
638	2	640	2	669	2	31	
639	6	645	2	675	1	30	
648	15	663	2	690	1	27	
650	4	654	2	690	2	40	
651	3	654	2	690	2	39	
652	12	664	2	690	2	38	
666	12	678	2	702	1	24	
669	9	678	2	702	2	33	
673	10	683	2	712	1	29	
674	15	689	2	712	2	38	
683	3	686	2	715	1	29	
690	3	693	2	718	1	25	
696	5	701	2	723	1	22	
699	11	710	2	734	1	24	
704	8	712	2	742	1	30	
707	8	715	2	742	2	35	
709	13	722	2	742	2	33	
714	4	718	2	746	1	28	
718	1	719	2	747	1	28	
731	6	737	2	753	1	16	
734	13	747	2	766	1	19	
745	13	758	2	779	1	21	
753	11	764	2	790	1	26	
756	8	764	2	790	2	34	
774	8	782	2	798	1	16	
778	8	786	2	806	1	20	
781	14	795	2	820	1	25	
786	8	794	2	820	2	34	
794	11	805	2	831	1	26	
797	7	804	2	831	2	34	
810	5	815	2	836	1	21	
813	7	820	2	843	1	23	
815	12	827	2	855	1	28	
823	8	831	2	855	2	32	
824	9	833	2	855	2	31	
832	14	846	2	869	1	23	
840	4	844	2	873	1	29	
844	15	859	2	888	1	29	
845	5	850	2	888	2	43	
863	15	878	2	903	1	25	
871	1	872	2	903	2	32	
880	13	893	2	916	1	23	
890	1	891	2	917	1	26	
0	14	14	3	14	1	917	
4	11	15	3	25	1	10	
10	9	19	3	34	1	15	
16	14	30	3	48	1	18	
26	8	34	3	56	1	22	
29	2	31	3	58	1	27	
37	11	48	3	69	1	21	
52	4	56	3	73	1	17	
55	3	58	3	76	1	18	
56	15	71	3	91	1	20	
60	14	74	3	91	2	31	
61	13	74	3	104	1	30	
71	1	72	3	104	2	33	
76	5	81	3	109	1	28	
86	15	101	3	124	1	23	
89	13	102	3	124	2	35	
102	5	107	3	129	1	22	
105	1	106	3	130	1	24	
111	13	124	3	143	1	19	
113	15	128	3	158	1	30	
128	11	139	3	169	1	30	
139	1	140	3	170	1	30	
142	6	148	3	176	1	28	
143	14	157	3	176	2	33	
148	6	154	3	182	1	28	
151	13	164	3	182	2	31	
156	12	168	3	194	1	26	
167	10	177	3	204	1	27	
174	1	175	3	205	1	30	
179	9	188	3	214	1	26	
184	8	192	3	222	1	30	
185	15	200	3	222	2	37	
188	11	199	3	222	2	34	
195	5	200	3	227	1	27	
206	15	221	3	242	1	21	
208	3	211	3	242	2	34	
209	2	211	3	242	2	33	
210	5	215	3	242	2	32	
225	4	229	3	246	1	17	
228	13	241	3	259	1	18	
231	11	242	3	270	1	28	
233	9	242	3	270	2	37	
237	12	249	3	270	2	33	
241	10	251	3	280	1	29	
243	11	254	3	280	2	37	
245	12	257	3	280	2	35	
256	15	271	3	295	1	24	
272	8	280	3	303	1	23	
276	6	282	3	309	1	27	
280	5	285	3	314	1	29	
284	3	287	3	317	1	30	
287	5	292	3	322	1	30	
288	11	299	3	322	2	34	
289	14	303	3	322	2	33	
291	9	300	3	322	2	31	
306	4	310	3	326	1	16	
315	11	326	3	337	1	11	
319	6	325	3	343	1	18	
328	5	333	3	348	1	15	
331	9	340	3	357	1	17	
334	13	347	3	370	1	23	
344	12	356	3	382	1	26	
365	12	377	3	394	1	17	
367	9	376	3	403	1	27	
370	10	380	3	403	2	33	
400	12	412	3	415	1	3	
407	7	414	3	422	1	8	
409	6	415	3	428	1	13	
414	13	427	3	441	1	14	
418	4	422	3	445	1	23	
438	4	442	3	449	1	7	
457	10	467	3	467	1	-8	
463	7	470	3	474	1	4	
470	3	473	3	477	1	4	
472	15	487	3	492	1	5	
485	2	487	3	494	1	7	
488	13	501	3	507	1	6	
497	1	498	3	508	1	10	
500	12	512	3	520	1	8	
502	6	508	3	526	1	18	
511	1	512	3	527	1	15	
515	11	526	3	538	1	12	
518	14	532	3	552	1	20	
525	8	533	3	560	1	27	
539	9	548	3	569	1	21	
549	5	554	3	574	1	20	
564	2	566	3	576	1	10	
567	7	574	3	583	1	9	
568	3	571	3	586	1	15	
573	6	579	3	592	1	13	
578	14	592	3	606	1	14	
582	6	588	3	612	1	24	
584	12	596	3	624	1	28	
595	1	596	3	625	1	29	
605	14	619	3	639	1	20	
623	2	625	3	641	1	16	
630	6	636	3	647	1	11	
631	6	637	3	653	1	16	
640	14	654	3	667	1	13	
642	10	652	3	677	1	25	
646	12	658	3	677	2	31	
649	2	651	3	679	1	28	
654	11	665	3	690	1	25	
657	14	671	3	690	2	33	
659	6	665	3	690	2	31	
662	9	671	3	699	1	28	
671	2	673	3	701	1	28	
675	9	684	3	710	1	26	
678	7	685	3	710	2	32	
681	8	689	3	718	1	29	
686	12	698	3	718	2	32	
687	9	696	3	718	2	31	
689	11	700	3	729	1	29	
698	13	711	3	729	2	31	
711	15	726	3	744	1	18	
712	7	719	3	744	2	32	
716	2	718	3	746	1	28	
719	11	730	3	757	1	27	
729	5	734	3	762	1	28	
736	4	740	3	766	1	26	
737	13	750	3	779	1	29	
739	11	750	3	779	2	40	
742	15	757	3	779	2	37	
761	9	770	3	788	1	18	
763	1	764	3	789	1	25	
765	10	775	3	799	1	24	
780	10	790	3	809	1	19	
783	11	794	3	820	1	26	
807	12	819	3	832	1	13	
818	11	829	3	843	1	14	
829	10	839	3	853	1	14	
830	14	844	3	867	1	23	
834	3	837	3	867	2	33	
836	1	837	3	867	2	31	
837	12	849	3	879	1	30	
855	5	860	3	884	1	24	
861	10	871	3	894	1	23	
865	13	878	3	907	1	29	
867	3	870	3	907	2	40	
870	3	873	3	907	2	37	
876	7	883	3	907	2	31	
878	1	879	3	908	1	29	
879	7	886	3	915	1	29	
882	7	889	3	915	2	33	
2	9	11	4	11	1	913	
3	5	8	4	16	1	8	
6	4	10	4	20	1	10	
9	14	23	4	34	1	11	
13	4	17	4	38	1	21	
15	3	18	4	41	1	23	
21	13	34	4	54	1	20	
39	11	50	4	65	1	15	
40	5	45	4	70	1	25	
42	14	56	4	84	1	28	
44	12	56	4	84	2	40	
48	10	58	4	84	2	36	
68	11	79	4	95	1	16	
83	11	94	4	106	1	12	
92	14	106	4	120	1	14	
101	3	104	4	123	1	19	
103	11	114	4	134	1	20	
106	1	107	4	135	1	28	
110	6	116	4	141	1	25	
118	1	119	4	142	1	23	
121	13	134	4	155	1	21	
126	13	139	4	168	1	29	
130	8	138	4	168	2	38	
137	2	139	4	168	2	31	
146	2	148	4	170	1	22	
161	1	162	4	171	1	9	
164	7	171	4	178	1	7	
173	3	176	4	181	1	5	
178	9	187	4	190	1	3	
181	6	187	4	196	1	9	
182	12	194	4	208	1	14	
212	3	215	4	215	1	-4	
220	11	231	4	231	1	-5	
232	10	242	4	242	1	-1	
254	3	257	4	257	1	-12	
270	7	277	4	277	1	-13	
271	5	276	4	282	1	6	
273	2	275	4	284	1	9	
275	6	281	4	290	1	9	
277	4	281	4	294	1	13	
281	9	290	4	303	1	13	
290	15	305	4	318	1	13	
293	14	307	4	332	1	25	
299	1	300	4	332	2	33	
300	6	306	4	332	2	32	
309	11	320	4	343	1	23	
312	1	313	4	343	2	31	
318	14	332	4	357	1	25	
322	8	330	4	357	2	35	
339	15	354	4	372	1	18	
349	3	352	4	375	1	23	
352	2	354	4	377	1	23	
356	15	371	4	392	1	21	
358	2	360	4	392	2	34	
372	10	382	4	402	1	20	
373	14	387	4	416	1	29	
374	14	388	4	416	2	42	
377	10	387	4	416	2	39	
386	8	394	4	424	1	30	
388	14	402	4	424	2	36	
393	5	398	4	424	2	31	
397	9	406	4	433	1	27	
403	2	405	4	435	1	30	
412	4	416	4	439	1	23	
413	13	426	4	452	1	26	
423	6	429	4	458	1	29	
426	8	434	4	458	2	32	
436	10	446	4	468	1	22	
444	9	453	4	477	1	24	
458	9	467	4	486	1	19	
461	5	466	4	491	1	25	
466	3	469	4	494	1	25	
468	1	469	4	495	1	26	
473	12	485	4	507	1	22	
484	14	498	4	521	1	23	
486	5	491	4	521	2	35	
487	12	499	4	521	2	34	
490	1	491	4	521	2	31	
492	6	498	4	527	1	29	
498	9	507	4	536	1	29	
506	14	520	4	550	1	30	
508	11	519	4	550	2	42	
510	8	518	4	550	2	40	
516	12	528	4	550	2	34	
521	12	533	4	562	1	29	
522	2	524	4	562	2	40	
529	4	533	4	562	2	33	
537	4	541	4	566	1	25	
542	9	551	4	575	1	24	
543	13	556	4	575	2	32	
554	3	557	4	578	1	21	
556	1	557	4	579	1	22	
562	10	572	4	589	1	17	
563	4	567	4	593	1	26	
574	15	589	4	608	1	19	
575	15	590	4	608	2	33	
583	11	594	4	619	1	25	
588	5	593	4	619	2	31	
591	10	601	4	629	1	28	
616	5	621	4	634	1	13	
617	5	622	4	639	1	17	
620	6	626	4	645	1	19	
624	5	629	4	650	1	21	
644	9	653	4	659	1	6	
645	13	658	4	672	1	14	
658	11	669	4	683	1	14	
664	7	671	4	690	1	19	
667	15	682	4	705	1	23	
672	13	685	4	705	2	33	
676	5	681	4	710	1	29	
692	3	695	4	713	1	18	
694	1	695	4	714	1	19	
701	2	703	4	716	1	13	
705	8	713	4	724	1	11	
741	11	752	4	752	1	-17	
747	2	749	4	754	1	5	
749	8	757	4	762	1	5	
757	14	771	4	776	1	5	
759	6	765	4	782	1	17	
771	15	786	4	797	1	11	
775	15	790	4	812	1	22	
779	5	784	4	812	2	33	
788	6	794	4	818	1	24	
790	5	795	4	823	1	28	
793	3	796	4	826	1	30	
796	8	804	4	834	1	30	
804	14	818	4	848	1	30	
816	7	823	4	848	2	32	
820	10	830	4	858	1	28	
833	1	834	4	859	1	25	
842	12	854	4	871	1	17	
843	14	857	4	885	1	28	
846	4	850	4	885	2	39	
847	2	849	4	885	2	38	
849	11	860	4	885	2	36	
853	11	864	4	885	2	32	
854	2	856	4	885	2	31	
872	2	874	4	887	1	13	
874	8	882	4	895	1	13	
875	5	880	4	900	1	20	
887	12	899	4	912	1	13	
893	8	901	4	920	1	19	
898	7	905	4	927	1	22	
1	7	8	5	8	1	926	
12	6	18	5	18	1	-4	
14	12	26	5	30	1	4	
27	12	39	5	42	1	3	
28	7	35	5	49	1	14	
30	1	31	5	50	1	19	
43	4	47	5	54	1	7	
49	6	55	5	60	1	5	
51	3	54	5	63	1	9	
59	13	72	5	76	1	4	
62	13	75	5	89	1	14	
63	7	70	5	96	1	26	
66	5	71	5	101	1	30	
69	9	78	5	101	2	32	
73	8	81	5	109	1	28	
80	13	93	5	122	1	29	
81	5	86	5	122	2	41	
87	6	93	5	122	2	35	
88	7	95	5	122	2	34	
94	15	109	5	137	1	28	
96	1	97	5	137	2	41	
97	14	111	5	137	2	40	
98	10	108	5	137	2	39	
99	10	109	5	137	2	38	
108	4	112	5	141	1	29	
115	12	127	5	153	1	26	
117	8	125	5	153	2	36	
129	13	142	5	166	1	24	
145	13	158	5	179	1	21	
147	12	159	5	179	2	32	
149	10	159	5	189	1	30	
150	2	152	5	189	2	39	
153	11	164	5	189	2	36	
154	4	158	5	189	2	35	
162	10	172	5	199	1	27	
169	4	173	5	203	1	30	
172	1	173	5	203	2	31	
175	3	178	5	206	1	28	
176	14	190	5	220	1	30	
186	1	187	5	220	2	34	
187	12	199	5	220	2	33	
189	13	202	5	220	2	31	
191	11	202	5	231	1	29	
205	12	217	5	243	1	26	
216	2	218	5	245	1	27	
218	2	220	5	247	1	27	
219	9	228	5	256	1	28	
221	1	222	5	256	2	35	
234	3	237	5	259	1	22	
239	2	241	5	261	1	20	
246	15	261	5	276	1	15	
249	4	253	5	280	1	27	
257	5	262	5	285	1	23	
263	13	276	5	298	1	22	
265	2	267	5	298	2	33	
274	15	289	5	313	1	24	
278	1	279	5	313	2	35	
292	4	296	5	317	1	21	
302	6	308	5	323	1	15	
305	4	309	5	327	1	18	
307	8	315	5	335	1	20	
321	5	326	5	340	1	14	
325	14	339	5	354	1	15	
329	11	340	5	365	1	25	
336	8	344	5	373	1	29	
337	12	349	5	373	2	36	
343	1	344	5	374	1	30	
346	15	361	5	389	1	28	
348	5	353	5	389	2	41	
353	9	362	5	389	2	36	
354	8	362	5	389	2	35	
355	4	359	5	389	2	34	
361	12	373	5	401	1	28	
364	1	365	5	401	2	37	
375	7	382	5	408	1	26	
379	5	384	5	413	1	29	
380	2	382	5	413	2	33	
381	3	384	5	413	2	32	
394	2	396	5	415	1	19	
398	5	403	5	420	1	17	
406	4	410	5	424	1	14	
408	12	420	5	436	1	16	
411	6	417	5	442	1	25	
416	14	430	5	456	1	26	
420	13	433	5	456	2	36	
421	3	424	5	456	2	35	
424	2	426	5	456	2	32	
425	10	435	5	456	2	31	
427	9	436	5	465	1	29	
428	15	443	5	465	2	37	
431	14	445	5	465	2	34	
433	12	445	5	465	2	32	
439	15	454	5	480	1	26	
443	8	451	5	480	2	37	
446	13	459	5	480	2	34	
450	3	453	5	483	1	30	
451	14	465	5	483	2	32	
462	14	476	5	497	1	21	
464	12	476	5	497	2	33	
476	14	490	5	511	1	21	
477	2	479	5	511	2	34	
478	8	486	5	511	2	33	
495	12	507	5	523	1	16	
503	6	509	5	529	1	20	
505	15	520	5	544	1	24	
507	6	513	5	544	2	37	
519	9	528	5	553	1	25	
528	8	536	5	561	1	25	
530	9	539	5	561	2	31	
538	15	553	5	576	1	23	
544	7	551	5	576	2	32	
551	9	560	5	585	1	25	
552	13	565	5	585	2	33	
553	10	563	5	585	2	32	
560	11	571	5	596	1	25	
565	13	578	5	596	2	31	
569	13	582	5	609	1	27	
571	12	583	5	609	2	38	
596	14	610	5	623	1	13	
603	6	609	5	629	1	20	
604	11	615	5	640	1	25	
610	6	616	5	646	1	30	
625	13	638	5	659	1	21	
626	9	635	5	659	2	33	
628	15	643	5	659	2	31	
643	9	652	5	668	1	16	
685	5	690	5	690	1	-17	
688	8	696	5	698	1	2	
697	8	705	5	706	1	1	
700	1	701	5	707	1	6	
706	3	709	5	710	1	1	
713	3	716	5	716	1	-3	
715	12	727	5	728	1	1	
726	14	740	5	742	1	2	
732	5	737	5	747	1	10	
738	15	753	5	762	1	9	
748	9	757	5	771	1	14	
752	12	764	5	783	1	19	
754	14	768	5	797	1	29	
755	7	762	5	797	2	42	
758	6	764	5	797	2	39	
762	3	765	5	797	2	35	
766	14	780	5	797	2	31	
767	2	769	5	799	1	30	
770	14	784	5	813	1	29	
772	8	780	5	813	2	41	
776	5	781	5	813	2	37	
777	8	785	5	813	2	36	
782	6	788	5	813	2	31	
787	5	792	5	818	1	26	
795	13	808	5	831	1	23	
798	11	809	5	831	2	33	
799	14	813	5	831	2	32	
801	8	809	5	839	1	30	
803	4	807	5	839	2	36	
806	1	807	5	839	2	33	
809	14	823	5	853	1	30	
814	8	822	5	853	2	39	
819	10	829	5	853	2	34	
828	4	832	5	857	1	25	
831	7	838	5	864	1	26	
839	4	843	5	868	1	25	
841	5	846	5	873	1	27	
850	2	852	5	875	1	23	
856	11	867	5	886	1	19	
858	11	869	5	897	1	28	
862	8	870	5	897	2	35	
864	2	866	5	897	2	33	
866	12	878	5	897	2	31	
873	15	888	5	912	1	24	
884	3	887	5	915	1	28	
891	14	905	5	929	1	24	
5	12	17	6	17	1	924	
24	10	34	6	34	1	-7	
38	2	40	6	40	1	-4	
41	3	44	6	44	1	-1	
45	12	57	6	57	1	-1	
46	8	54	6	65	1	11	
47	14	61	6	79	1	18	
57	7	64	6	86	1	22	
64	2	66	6	88	1	22	
65	1	66	6	89	1	23	
75	7	82	6	96	1	14	
77	6	83	6	102	1	19	
82	13	95	6	115	1	20	
84	2	86	6	115	2	31	
85	6	91	6	121	1	30	
90	10	100	6	121	2	31	
100	7	107	6	128	1	21	
109	14	123	6	142	1	19	
125	6	131	6	148	1	17	
138	12	150	6	160	1	10	
140	8	148	6	168	1	20	
141	2	143	6	170	1	27	
157	3	160	6	173	1	13	
159	15	174	6	188	1	14	
170	7	177	6	195	1	18	
199	10	209	6	209	1	-4	
201	11	212	6	220	1	8	
207	13	220	6	233	1	13	
211	8	219	6	241	1	22	
214	3	217	6	244	1	27	
223	11	234	6	255	1	21	
226	9	235	6	264	1	29	
229	13	242	6	264	2	35	
230	14	244	6	264	2	34	
236	5	241	6	269	1	28	
240	1	241	6	270	1	29	
250	2	252	6	272	1	20	
252	3	255	6	275	1	20	
255	13	268	6	288	1	20	
258	2	260	6	290	1	30	
262	6	268	6	296	1	28	
264	7	271	6	296	2	32	
266	10	276	6	306	1	30	
269	5	274	6	306	2	37	
301	12	313	6	318	1	5	
303	8	311	6	326	1	15	
311	2	313	6	328	1	15	
316	10	326	6	338	1	12	
324	8	332	6	346	1	14	
326	7	333	6	353	1	20	
350	11	361	6	364	1	3	
357	12	369	6	376	1	7	
360	8	368	6	384	1	16	
366	12	378	6	396	1	18	
368	6	374	6	402	1	28	
371	11	382	6	402	2	31	
383	7	390	6	409	1	19	
401	9	410	6	418	1	8	
402	3	405	6	421	1	16	
410	12	422	6	433	1	11	
419	2	421	6	435	1	14	
435	12	447	6	447	1	0	
440	9	449	6	456	1	7	
441	10	451	6	466	1	15	
442	6	448	6	472	1	24	
449	3	452	6	475	1	23	
452	1	453	6	476	1	23	
467	1	468	6	477	1	9	
474	7	481	6	484	1	3	
475	6	481	6	490	1	9	
479	14	493	6	504	1	11	
481	6	487	6	510	1	23	
489	7	496	6	517	1	21	
491	13	504	6	530	1	26	
514	15	529	6	545	1	16	
523	12	535	6	557	1	22	
526	4	530	6	557	2	31	
536	8	544	6	565	1	21	
558	7	565	6	572	1	7	
559	14	573	6	586	1	13	
561	15	576	6	601	1	25	
570	1	571	6	601	2	31	
572	2	574	6	603	1	29	
576	7	583	6	610	1	27	
579	1	580	6	610	2	31	
598	5	603	6	615	1	12	
599	10	609	6	625	1	16	
601	13	614	6	638	1	24	
607	7	614	6	638	2	31	
612	11	623	6	649	1	26	
615	3	618	6	649	2	34	
633	11	644	6	660	1	16	
656	14	670	6	674	1	4	
660	4	664	6	678	1	14	
661	5	666	6	683	1	17	
665	9	674	6	692	1	18	
677	14	691	6	706	1	15	
680	11	691	6	717	1	26	
708	13	721	6	730	1	9	
717	11	728	6	741	1	13	
721	15	736	6	756	1	20	
725	8	733	6	756	2	31	
727	15	742	6	771	1	29	
730	5	735	6	771	2	41	
733	11	744	6	771	2	38	
751	11	762	6	782	1	20	
764	6	770	6	788	1	18	
784	7	791	6	795	1	4	
789	9	798	6	804	1	6	
792	5	797	6	809	1	12	
805	2	807	6	811	1	4	
817	6	823	6	823	1	-6	
821	5	826	6	828	1	2	
826	14	840	6	842	1	2	
838	11	849	6	853	1	4	
848	8	856	6	861	1	5	
857	1	858	6	862	1	4	
859	13	872	6	875	1	3	
877	12	889	6	889	1	-2	
886	3	889	6	892	1	3	
892	2	894	6	894	1	0	
895	8	903	6	903	1	-1	
